clean,corrupted,group,plural
The books the chef hates,The book the chef hates,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon that likes the minister,The surgeons that like the minister,ML-subj_rel_all,0
The poem the taxi driver hates,The poems the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
The farmers that the assistants hate,The farmer that the assistants hate,ML-obj_rel_across_anim_all,1
The song the guards like,The songs the guards like,ML-obj_rel_no_comp_across_inanim_all,0
The surgeons behind the dancers,The surgeon behind the dancers,ML-prep_anim_all,1
The surgeons that the skaters love,The surgeon that the skaters love,ML-obj_rel_across_anim_all,1
The farmer next to the ministers,The farmers next to the ministers,ML-prep_anim_all,0
The customer that the guard loves,The customers that the guard loves,ML-obj_rel_across_anim_all,0
The painting that the architect,The painting that the architects,ML-obj_rel_within_inanim_all,0
The movie by the assistant,The movies by the assistant,ML-prep_inanim_all,0
The senators the assistant,The senators the assistants,ML-obj_rel_no_comp_within_anim_all,0
The senator the guard loves,The senators the guard loves,ML-obj_rel_no_comp_across_anim_all,0
The song that the parent hates,The songs that the parent hates,ML-obj_rel_across_inanim_all,0
The managers that the dancers admire,The manager that the dancers admire,ML-obj_rel_across_anim_all,1
The show that the assistant admires,The shows that the assistant admires,ML-obj_rel_across_inanim_all,0
The poem from the chef,The poems from the chef,ML-prep_inanim_all,0
The poem by the chefs,The poems by the chefs,ML-prep_inanim_all,0
The farmer that the taxi drivers like,The farmers that the taxi drivers like,ML-obj_rel_across_anim_all,0
The games the parents like,The game the parents like,ML-obj_rel_no_comp_across_inanim_all,1
The consultants to the side of the parent,The consultant to the side of the parent,ML-prep_anim_all,1
The managers that the guard hates,The manager that the guard hates,ML-obj_rel_across_anim_all,1
The consultant behind the architects,The consultants behind the architects,ML-prep_anim_all,0
The paintings that the parents love,The painting that the parents love,ML-obj_rel_across_inanim_all,1
The officers that like the chefs,The officer that likes the chefs,ML-subj_rel_all,1
The shows the ministers love,The show the ministers love,ML-obj_rel_no_comp_across_inanim_all,1
The pictures by the executive,The picture by the executive,ML-prep_inanim_all,1
The customer near the minister,The customers near the minister,ML-prep_anim_all,0
The authors behind the skaters,The author behind the skaters,ML-prep_anim_all,1
The novels the taxi driver loves,The novel the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,1
The books the minister,The books the ministers,ML-obj_rel_no_comp_within_inanim_all,0
The shows by the assistants,The show by the assistants,ML-prep_inanim_all,1
The officer to the side of the skater,The officers to the side of the skater,ML-prep_anim_all,0
The shows that the chefs like,The show that the chefs like,ML-obj_rel_across_inanim_all,1
The movie that the dancer admires,The movies that the dancer admires,ML-obj_rel_across_inanim_all,0
The teacher the guards like,The teachers the guards like,ML-obj_rel_no_comp_across_anim_all,0
The surgeons that the executive,The surgeons that the executives,ML-obj_rel_within_anim_all,0
The surgeon in front of the ministers,The surgeons in front of the ministers,ML-prep_anim_all,0
The poem the chefs love,The poems the chefs love,ML-obj_rel_no_comp_across_inanim_all,0
The manager the executives,The manager the executive,ML-obj_rel_no_comp_within_anim_all,1
The game the assistants like,The games the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
The painting that the parent loves,The paintings that the parent loves,ML-obj_rel_across_inanim_all,0
The officer that the ministers love,The officers that the ministers love,ML-obj_rel_across_anim_all,0
The game the chefs hate,The games the chefs hate,ML-obj_rel_no_comp_across_inanim_all,0
The consultant that hates the minister,The consultants that hate the minister,ML-subj_rel_all,0
The movie from the architect,The movies from the architect,ML-prep_inanim_all,0
The pilot the skater likes,The pilots the skater likes,ML-obj_rel_no_comp_across_anim_all,0
The senator behind the executives,The senators behind the executives,ML-prep_anim_all,0
The senator the assistants like,The senators the assistants like,ML-obj_rel_no_comp_across_anim_all,0
The manager the parent admires,The managers the parent admires,ML-obj_rel_no_comp_across_anim_all,0
The consultant in front of the guards,The consultants in front of the guards,ML-prep_anim_all,0
The books that the executives admire,The book that the executives admire,ML-obj_rel_across_inanim_all,1
The books the architect loves,The book the architect loves,ML-obj_rel_no_comp_across_inanim_all,1
The farmers that the executives,The farmers that the executive,ML-obj_rel_within_anim_all,1
The mechanic knew the senators,The mechanic knew the senator,ML-sent_comp_all,1
The poem the assistants hate,The poems the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon that hates the chef,The surgeons that hate the chef,ML-subj_rel_all,0
The farmers to the side of the chef,The farmer to the side of the chef,ML-prep_anim_all,1
The games the architects like,The game the architects like,ML-obj_rel_no_comp_across_inanim_all,1
The teacher in front of the skaters,The teachers in front of the skaters,ML-prep_anim_all,0
The authors the dancers like,The author the dancers like,ML-obj_rel_no_comp_across_anim_all,1
The officers that love the chef,The officer that loves the chef,ML-subj_rel_all,1
The books the parent loves,The book the parent loves,ML-obj_rel_no_comp_across_inanim_all,1
The picture that the skaters hate,The pictures that the skaters hate,ML-obj_rel_across_inanim_all,0
The novels that the dancer likes,The novel that the dancer likes,ML-obj_rel_across_inanim_all,1
The farmers that like the architects,The farmer that likes the architects,ML-subj_rel_all,1
The customers that the chef,The customers that the chefs,ML-obj_rel_within_anim_all,0
The author that the parents hate,The authors that the parents hate,ML-obj_rel_across_anim_all,0
The manager that the architects like,The managers that the architects like,ML-obj_rel_across_anim_all,0
The teachers that love the minister,The teacher that loves the minister,ML-subj_rel_all,1
The pilot in front of the taxi driver,The pilots in front of the taxi driver,ML-prep_anim_all,0
The pilot the chefs admire,The pilots the chefs admire,ML-obj_rel_no_comp_across_anim_all,0
The surgeon across from the guard,The surgeons across from the guard,ML-prep_anim_all,0
The games from the dancer,The game from the dancer,ML-prep_inanim_all,1
The songs that the executive likes,The song that the executive likes,ML-obj_rel_across_inanim_all,1
The bankers knew the officer,The bankers knew the officers,ML-sent_comp_all,0
The novel the taxi drivers like,The novels the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,0
The consultant the executives hate,The consultants the executives hate,ML-obj_rel_no_comp_across_anim_all,0
The teachers next to the taxi drivers,The teacher next to the taxi drivers,ML-prep_anim_all,1
The show the parent,The show the parents,ML-obj_rel_no_comp_within_inanim_all,0
The game the executives admire,The games the executives admire,ML-obj_rel_no_comp_across_inanim_all,0
The pilots that the minister loves,The pilot that the minister loves,ML-obj_rel_across_anim_all,1
The senator in front of the guard,The senators in front of the guard,ML-prep_anim_all,0
The books that the taxi drivers admire,The book that the taxi drivers admire,ML-obj_rel_across_inanim_all,1
The teachers to the side of the assistants,The teacher to the side of the assistants,ML-prep_anim_all,1
The author to the side of the parents,The authors to the side of the parents,ML-prep_anim_all,0
The movie from the guard,The movies from the guard,ML-prep_inanim_all,0
The senators near the dancers,The senator near the dancers,ML-prep_anim_all,1
The picture that the chef loves,The pictures that the chef loves,ML-obj_rel_across_inanim_all,0
The farmer next to the executive,The farmers next to the executive,ML-prep_anim_all,0
The shows that the architect likes,The show that the architect likes,ML-obj_rel_across_inanim_all,1
The movie the parent,The movie the parents,ML-obj_rel_no_comp_within_inanim_all,0
The poems the guard loves,The poem the guard loves,ML-obj_rel_no_comp_across_inanim_all,1
The song the assistants hate,The songs the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
The officers that the skaters admire,The officer that the skaters admire,ML-obj_rel_across_anim_all,1
The picture the architects like,The pictures the architects like,ML-obj_rel_no_comp_across_inanim_all,0
The pilots across from the guard,The pilot across from the guard,ML-prep_anim_all,1
The senators the chef admires,The senator the chef admires,ML-obj_rel_no_comp_across_anim_all,1
The movie the guards like,The movies the guards like,ML-obj_rel_no_comp_across_inanim_all,0
The song the chefs like,The songs the chefs like,ML-obj_rel_no_comp_across_inanim_all,0
The book the assistant likes,The books the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
The senators the ministers admire,The senator the ministers admire,ML-obj_rel_no_comp_across_anim_all,1
The book that the skater likes,The books that the skater likes,ML-obj_rel_across_inanim_all,0
The authors that love the dancer,The author that loves the dancer,ML-subj_rel_all,1
The poems the guard likes,The poem the guard likes,ML-obj_rel_no_comp_across_inanim_all,1
The customer that the architects hate,The customers that the architects hate,ML-obj_rel_across_anim_all,0
The senator the architect admires,The senators the architect admires,ML-obj_rel_no_comp_across_anim_all,0
The senators that hate the skater,The senator that hates the skater,ML-subj_rel_all,1
The song that the chefs,The song that the chef,ML-obj_rel_within_inanim_all,1
The author near the architects,The authors near the architects,ML-prep_anim_all,0
The pilot the taxi drivers love,The pilots the taxi drivers love,ML-obj_rel_no_comp_across_anim_all,0
The books that the architects love,The book that the architects love,ML-obj_rel_across_inanim_all,1
The authors next to the guard,The author next to the guard,ML-prep_anim_all,1
The paintings the dancers hate,The painting the dancers hate,ML-obj_rel_no_comp_across_inanim_all,1
